driver_friction,friction_walking_only,id,megafire,ndvi,driver_forest_structure_rumple,driver_mean_ndvi,driver_rumple_index,driver_erc_percentile,driver_fm100_percentile,driver_fm1000_percentile,driver_bi_percentile,driver_pdsi,driver_pdsi_z,driver_spei14d,driver_spei30d,driver_spei90d,driver_spei180d,driver_spei270d,driver_spei1y,driver_spei2y,driver_spei5y,driver_temp_percentile,driver_soil_water_percentile,driver_rh_hi_percentile,driver_rh_lo_percentile,driver_vpd_hPa_hi_percentile,driver_vpd_hPa_lo_percentile,driver_wind_speed_hi_percentile,driver_wind_speed_lo_percentile,driver_wind_aspect_alignment_rad,name_frap,overlapping_pct_frap,ignition_date,ignition_year,ignition_month,last_date,ewe_rank,size_rank,frp_rank,aoir_rank,aoi_rank,mecdf,total_area_ha,frp_90,aoir_max,aoi_max,predicted_aoi,actual_aoi_during_max_aoir,cum_area_ha_tminus1,acq_date_frp,acq_date_aoir,acq_date_aoi,event_day_aoir,event_day_aoi,event_duration,modeled_max_aoir,driver_concurrent_fire_count,driver_cumulative_fire_count,driver_cumulative_fire_area,driver_starting_npl,driver_mean_npl,ewe_top,size_top,aoir_top,frp_top,idx
0.00117318156127113,0.012143209778666,2285,0,0.57709950335666,1.0309125513728,0.62491433263435,1.03296252599264,97.175,33.325,17.125,59.875,-2.03386431932449,0.431799846887589,0.0198378626257183,0.656739002466201,-1.10719147920609,0.0300066944211721,-0.232933312654496,-0.232844333350658,-0.390066623687744,0.16986882686615,96.725,40,83.475,17.875,95.175,25.55,89.95,27.775,0.939811207983821,SHELBY,0.463030473056441,2001-07-25,2001,7,2001-07-30,593,1240,167,767,790,0.709340148698885,365.759506261762,407.122222222222,264.961246927132,322.838050395325,57.8768034681933,322.838050395325,21.646396793332,2001-07-27,2001-07-28,2001-07-28,4,4,6,1.71883413216039,5,66,340.20916155052,2,2,lower,size_lower,aoir_lower,frp_lower,1
0.00143416117201481,0.0120715631143744,2308,0,0.57421030699605,1.04458076757202,0.639440366828923,1.03488554012754,99.5,1.25,2.275,98.95,-4.72765307426453,-1.95889278650284,-0.969169735908509,-0.620935537129232,-2.08999991416931,-0.968969798088074,-1.45000004768372,-1.45000004768372,-0.709909927845001,0.540000021457672,97.225,0,40.7,1,97.75,64,97.975,16.775,-0.111798648732302,STREAM,0.810858400884963,2001-07-27,2001,7,2001-08-13,298,465,375,352,363,0.864079925650558,1528.07324840432,149.65,903.30405738997,969.810076459861,66.5060190698909,969.810076459861,108.283931277915,2001-07-28,2001-07-29,2001-07-29,3,3,18,2.67980779896754,10,69,350.114980921832,2,2.27777777777778,lower,size_lower,aoir_lower,frp_lower,2
0.00137277302614465,0.012147942845708,2321,0,0.761481239278554,1.03274670607342,0.769855131818648,1.03374233603073,99.15,4.75,12.5,82,-2.17983746528626,-1.75956344604492,-0.0999079719185829,0.16995045542717,-1.12999999523163,-0.709999978542328,-1.12999999523163,-1.00999999046326,-0.38996297121048,1.00999999046326,93.225,7.25,52.625,10.55,92.475,58.75,98.225,14.95,-0.188658566393313,POWERHOUSE,0.447154777838513,2001-07-29,2001,7,2001-07-31,1801.5,1941,761,2045,1714,0.471189591078067,151.197709241988,36.86,30.4020506370534,86.6241699033387,56.2221192662853,86.6241699033387,43.3591082024381,2001-07-29,2001-07-30,2001-07-30,2,2,3,0.432268614101224,1,70,365.378931240298,2,2,lower,size_lower,aoir_lower,frp_lower,3
0.0022062142239401,0.0124437010063017,2517,0,0.612291776253962,1.06909452218073,0.672848321470138,1.03374550410254,99.5,1.475,2.475,86.35,-3.20189639646455,-1.19404856240832,-1.27997440099716,-1.27994017601013,-2.08999991416931,-0.799998705063836,-1.81499732847267,-1.53182372190783,-0.65534644440069,0.630016142129898,97.25,0,36.25,1.475,98,65.825,89.35,22.55,0.917124492359327,GAP,0.67597440910455,2001-08-14,2001,8,2001-08-21,397,583,673,396,407,0.801812267657993,1098.06209353803,50.27,783.378709568202,861.910781411863,78.532071843661,861.910781411863,151.510793602338,2001-08-14,2001-08-15,2001-08-15,2,2,8,2.39564466359559,14,79,853.527866112546,4,4.75,lower,size_lower,aoir_lower,frp_lower,4
0.0118812217076524,0.0170054842805583,2576,0,0.69502005558854,1.06161526869777,0.723361655248978,1.03019010624951,99.75,3.55,6.4,80.6,-2.56092844009399,-0.377481500725997,-1.45000004768372,-1.5767000635465,-2.08999106287956,-1.40998539924622,-1.836431290706,-1.1299706697464,-0.320008523213236,0.800000011920929,96.75,0,58.4,4.675,97,49.5,86.475,11,0.999928673258333,PONDEROSA,0.704488308342604,2001-08-18,2001,8,2001-08-25,355,588,337,583,592,0.826672862453532,1077.2586393697,177.077777777778,429.434209046535,495.985508519811,66.5512994732763,495.985508519811,86.58616689619,2001-08-18,2001-08-19,2001-08-19,2,2,8,2.00857363868358,14,84,886.442985057504,5,5,lower,size_lower,aoir_lower,frp_lower,5
0.0220336950076948,0.0282322300539273,2610,0,0.672454553210373,1.02461047159051,0.732984616690659,1.01952391139339,99.75,10.9,6.95,68.75,-1.29268088851656,-0.429972177743912,-1.54410934077727,-1.44950396064166,-1.23265803626606,-0.506838190608791,-0.389944058656693,-0.247846033286059,-0.388811775035149,0.629999995231628,97.25,17.5,49.25,5.3,97.225,58.025,93.475,12.55,0.759037822577548,NORTH FORK,0.841716240977166,2001-08-20,2001,8,2001-08-30,361,446,624,374,389,0.825511152416357,1634.52493820381,59.11,853.092342750294,904.461811816855,51.3694690665611,904.461811816855,21.6610996367104,2001-08-22,2001-08-22,2001-08-22,3,3,11,2.86829607478146,10,91,967.704101153386,5,5,lower,size_lower,aoir_lower,frp_lower,6
0.0448847113114737,0.0477572842279894,3119,0,0.810550904575398,1.00933266339914,0.82069584715556,1.03098693856012,99.325,11.575,15.075,70.3,-2.59003353118897,-2.11187068223953,-0.410146021842956,-1.1750598192215,-0.100014008395374,-0.800021886825562,-1.81000001430512,-2.08999991416931,-1.45000004768372,0.390045553445816,96.225,12.25,69.725,2.25,97.225,37.6,83.45,12.625,-0.343490138913823,SWILLUP II,0.994946500904644,2001-09-21,2001,9,2001-10-01,453,709,491,750,709,0.776022304832714,841.15293131289,91.5909090909092,273.233668107849,367.485800068305,94.2521319604556,367.485800068305,433.278425644271,2001-09-24,2001-09-29,2001-09-29,9,9,11,1.36071123229409,11,114,1285.18031804394,2,2,lower,size_lower,aoir_lower,frp_lower,7
0.00215036190270773,0.0137203281514282,3814,0,0.710345680096694,1.06292331081785,0.731786814481451,1.02673400459937,96.75,23.3,20.85,79.5,-2.93270611179118,-3.40086597617792,-1.38198757171631,-1.69000005722046,-1.06440951580904,-2.08999991416931,-0.899918496608734,-1.22800404101002,-0.620000004768372,0.709992444271944,75.1750000000001,30.5,92.4,5.225,82.725,8.55,84.775,7.975,0.82609638486771,HIGHWAY 70,0.735249405834022,2001-10-24,2001,10,2001-10-30,499,979,206,813,802,0.752091078066915,538.947550366506,320.41,240.845253182001,302.402128271367,61.5568750893667,302.402128271367,65.019873740812,2001-10-25,2001-10-25,2001-10-25,2,2,7,1.59179613656387,5,143,1361.88894474702,1,1.71428571428571,lower,size_lower,aoir_lower,frp_lower,8
0.0059279073794624,0.0146333194587012,4524,0,0.448673666870376,1.02742401644523,0.454638154507541,1.02962007210318,98.125,12.1,35.85,55.1,-1.69294016361236,-1.97605568170548,-0.703090940415859,-0.677853801846504,-0.581926459074021,-0.603894644975663,-0.612000054121017,-0.297869311273098,0.0371821165084839,0.0440772660076618,77.8,63.5,84.5,3.5,89.225,10.65,90.2,29.825,0.420838692463902,GREEN,0.964283849017964,2002-02-06,2002,2,2002-02-21,517,989,566,578,598,0.742332713754647,538.049556354662,72.3690476190476,437.124030989104,495.131542547165,58.0075115580609,495.131542547165,21.6446530551218,2002-02-10,2002-02-11,2002-02-11,6,6,16,2.14425095800241,6,4,25.2003609247428,1,1,lower,size_lower,aoir_lower,frp_lower,9
0.00302878548173836,0.0160288220158237,5992,0,0.347734965679146,1.02105540186847,0.376115560539894,1.03006777312892,87.3,28.2,52.3,35.45,-2.86622346322748,-1.84191218474332,-0.459773470139971,-0.0593035428401302,-0.899999976158142,-1.2801452440374,-1.27999997138977,-1.27998707017522,-0.620000004768372,0.319999992847443,89.325,0,85.05,3.475,92.525,20.15,91.05,14.95,0.519790768249017,BOUQUET,0.650675715547741,2002-05-12,2002,5,2002-05-19,373.5,403,671,433,350,0.81389405204461,1870.63688403114,50.7678571428572,690.172180284329,1054.42593440212,63.8787866813377,754.050966965667,21.6478338931415,2002-05-12,2002-05-13,2002-05-14,2,3,8,2.46847263171961,4,32,88.9452893788244,2,2,lower,size_lower,aoir_lower,frp_lower,10
