"","biome","mtry","num.trees","sample.fraction","classification_thresh","min.node.size","class.wgts","n","n_not_missing","mean_f_meas","mean_informedness","mean_mcc","lwr_f_meas","lwr_informedness","lwr_mcc"
"1","mfws",12,1000,0.4,0.33,1,TRUE,9,8,0.730243267932784,NA,0.691952538657145,0.716262427616131,NA,0.676619367655387
"2","tcf",6,1000,0.8,0.36,50,TRUE,10,8,0.660482605946083,NA,0.650626741808225,0.65204476094964,NA,0.642017955349701
